trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
1,2025-01-06 01:00,5,"$102,235.60",69.62%,30.38%,39.2%,2025-01-07 01:00,"$101,468.83",SL,-0.75%,1,LOSS
2,2025-01-13 01:00,12,"$94,536.10",53.19%,46.81%,6.4%,2025-01-14 01:00,"$95,954.14",TP,+1.50%,1,WIN
3,2025-01-19 01:00,18,"$101,331.57",57.75%,42.25%,15.5%,2025-01-20 01:00,"$102,851.54",TP,+1.50%,1,WIN
4,2025-01-21 01:00,20,"$106,143.82",54.88%,45.12%,9.8%,2025-01-22 01:00,"$105,347.74",SL,-0.75%,1,LOSS
5,2025-01-27 01:00,26,"$102,082.83",53.34%,46.66%,6.7%,2025-01-28 01:00,"$103,614.07",TP,+1.50%,1,WIN
6,2025-02-01 01:00,31,"$100,635.65",53.89%,46.11%,7.8%,2025-02-02 01:00,"$99,880.88",SL,-0.75%,1,LOSS
7,2025-02-04 01:00,34,"$97,763.13",61.99%,38.01%,24.0%,2025-02-05 01:00,"$97,029.91",SL,-0.75%,1,LOSS
8,2025-02-11 01:00,41,"$95,778.20",67.98%,32.02%,36.0%,2025-02-12 01:00,"$97,214.87",TP,+1.50%,1,WIN
9,2025-02-16 01:00,46,"$96,118.12",51.45%,48.55%,2.9%,2025-02-17 01:00,"$95,397.23",SL,-0.75%,1,LOSS
10,2025-02-18 01:00,48,"$95,671.74",57.25%,42.75%,14.5%,2025-02-20 01:00,"$97,106.82",TP,+1.50%,2,WIN
11,2025-02-27 01:00,57,"$84,708.58",53.39%,46.61%,6.8%,2025-02-28 01:00,"$84,073.27",SL,-0.75%,1,LOSS
12,2025-03-01 01:00,59,"$86,064.53",58.80%,41.20%,17.6%,2025-03-02 01:00,"$87,355.50",TP,+1.50%,1,WIN
13,2025-03-03 01:00,61,"$86,220.61",87.14%,12.86%,74.3%,2025-03-04 01:00,"$87,513.92",TP,+1.50%,1,WIN
14,2025-03-05 01:00,63,"$90,606.01",66.36%,33.64%,32.7%,2025-03-06 01:00,"$91,965.10",TP,+1.50%,1,WIN
15,2025-03-07 01:00,65,"$86,801.75",73.23%,26.77%,46.5%,2025-03-08 01:00,"$86,150.74",SL,-0.75%,1,LOSS
16,2025-03-09 01:00,67,"$80,734.37",78.35%,21.65%,56.7%,2025-03-10 01:00,"$81,945.39",TP,+1.50%,1,WIN
17,2025-03-11 01:00,69,"$82,932.99",75.97%,24.03%,51.9%,2025-03-12 01:00,"$84,176.98",TP,+1.50%,1,WIN
18,2025-03-13 01:00,71,"$81,115.78",82.77%,17.23%,65.5%,2025-03-14 01:00,"$82,332.52",TP,+1.50%,1,WIN
19,2025-03-15 01:00,73,"$84,338.44",71.11%,28.89%,42.2%,2025-03-16 01:00,"$83,705.90",SL,-0.75%,1,LOSS
20,2025-03-17 01:00,75,"$84,010.03",57.00%,43.00%,14.0%,2025-03-18 01:00,"$83,379.95",SL,-0.75%,1,LOSS
21,2025-04-07 02:00,96,"$79,163.24",54.91%,45.09%,9.8%,2025-04-08 02:00,"$80,350.69",TP,+1.50%,1,WIN
22,2025-04-10 02:00,99,"$79,607.30",55.96%,44.04%,11.9%,2025-04-11 02:00,"$80,801.41",TP,+1.50%,1,WIN
23,2025-04-12 02:00,101,"$85,276.90",60.29%,39.71%,20.6%,2025-04-13 02:00,"$84,637.32",SL,-0.75%,1,LOSS
24,2025-04-14 02:00,103,"$84,591.58",52.26%,47.74%,4.5%,2025-04-15 02:00,"$85,860.45",TP,+1.50%,1,WIN
25,2025-04-21 02:00,110,"$87,516.23",56.88%,43.12%,13.8%,2025-04-22 02:00,"$88,828.97",TP,+1.50%,1,WIN
26,2025-04-23 02:00,112,"$93,691.08",56.81%,43.19%,13.6%,2025-04-24 02:00,"$92,988.40",SL,-0.75%,1,LOSS
27,2025-04-25 02:00,114,"$94,638.68",64.98%,35.02%,30.0%,2025-04-26 02:00,"$93,928.89",SL,-0.75%,1,LOSS
28,2025-05-01 02:00,120,"$96,489.91",55.06%,44.94%,10.1%,2025-05-03 02:00,"$95,766.24",SL,-0.75%,2,LOSS
29,2025-05-05 02:00,124,"$94,733.68",56.37%,43.63%,12.7%,2025-05-06 02:00,"$96,154.69",TP,+1.50%,1,WIN
30,2025-05-08 02:00,127,"$103,261.60",52.93%,47.07%,5.9%,2025-05-09 02:00,"$102,487.14",SL,-0.75%,1,LOSS
31,2025-05-11 02:00,130,"$104,118.00",53.29%,46.71%,6.6%,2025-05-12 02:00,"$105,679.77",TP,+1.50%,1,WIN
32,2025-05-13 02:00,132,"$104,103.72",51.51%,48.49%,3.0%,2025-05-14 02:00,"$103,322.94",SL,-0.75%,1,LOSS
33,2025-05-19 02:00,138,"$105,573.74",53.39%,46.61%,6.8%,2025-05-20 02:00,"$107,157.35",TP,+1.50%,1,WIN
34,2025-05-21 02:00,140,"$109,643.99",69.97%,30.03%,39.9%,2025-05-22 02:00,"$111,288.65",TP,+1.50%,1,WIN
35,2025-05-23 02:00,142,"$107,318.30",56.16%,43.84%,12.3%,2025-05-24 02:00,"$108,928.07",TP,+1.50%,1,WIN
