trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
1,2025-01-04 01:00,3,"$3,656.88",54.37%,45.63%,8.7%,2025-01-05 01:00,"$3,629.45",SL,-0.75%,1,LOSS
2,2025-01-06 01:00,5,"$3,687.45",67.32%,32.68%,34.6%,2025-01-07 01:00,"$3,659.79",SL,-0.75%,1,LOSS
3,2025-01-11 01:00,10,"$3,282.83",52.32%,47.68%,4.6%,2025-01-12 01:00,"$3,258.21",SL,-0.75%,1,LOSS
4,2025-01-13 01:00,12,"$3,137.51",55.90%,44.10%,11.8%,2025-01-14 01:00,"$3,184.57",TP,+1.50%,1,WIN
5,2025-01-16 01:00,15,"$3,308.05",50.78%,49.22%,1.6%,2025-01-17 01:00,"$3,357.67",TP,+1.50%,1,WIN
6,2025-01-18 01:00,17,"$3,307.71",52.50%,47.50%,5.0%,2025-01-19 01:00,"$3,357.33",TP,+1.50%,1,WIN
7,2025-01-22 01:00,21,"$3,242.60",63.84%,36.16%,27.7%,2025-01-23 01:00,"$3,291.24",TP,+1.50%,1,WIN
8,2025-01-24 01:00,23,"$3,310.09",58.29%,41.71%,16.6%,2025-01-25 01:00,"$3,285.26",SL,-0.75%,1,LOSS
9,2025-01-26 01:00,25,"$3,232.61",51.37%,48.63%,2.7%,2025-01-27 01:00,"$3,208.37",SL,-0.75%,1,LOSS
10,2025-02-02 01:00,32,"$2,869.68",50.51%,49.49%,1.0%,2025-02-03 01:00,"$2,912.73",TP,+1.50%,1,WIN
11,2025-02-04 01:00,34,"$2,731.19",56.34%,43.66%,12.7%,2025-02-05 01:00,"$2,772.16",TP,+1.50%,1,WIN
12,2025-02-06 01:00,36,"$2,686.64",58.50%,41.50%,17.0%,2025-02-07 01:00,"$2,726.94",TP,+1.50%,1,WIN
13,2025-02-08 01:00,38,"$2,632.46",64.89%,35.11%,29.8%,2025-02-09 01:00,"$2,671.95",TP,+1.50%,1,WIN
14,2025-02-10 01:00,40,"$2,661.19",54.16%,45.84%,8.3%,2025-02-11 01:00,"$2,701.11",TP,+1.50%,1,WIN
15,2025-02-13 01:00,43,"$2,675.87",50.07%,49.93%,0.1%,2025-02-14 01:00,"$2,716.01",TP,+1.50%,1,WIN
