trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
1,2025-01-05 01:00,4,$213.41,65.17%,34.83%,30.3%,2025-01-06 01:00,$216.61,TP,+1.50%,1,WIN
2,2025-01-07 01:00,6,$202.17,54.17%,45.83%,8.3%,2025-01-08 01:00,$200.65,SL,-0.75%,1,LOSS
3,2025-01-15 01:00,14,$205.86,74.97%,25.03%,49.9%,2025-01-16 01:00,$208.95,TP,+1.50%,1,WIN
4,2025-01-18 01:00,17,$261.97,68.53%,31.47%,37.1%,2025-01-19 01:00,$265.90,TP,+1.50%,1,WIN
5,2025-01-20 01:00,19,$242.19,78.24%,21.76%,56.5%,2025-01-21 01:00,$245.82,TP,+1.50%,1,WIN
6,2025-01-23 01:00,22,$253.11,62.18%,37.82%,24.4%,2025-01-24 01:00,$256.91,TP,+1.50%,1,WIN
7,2025-01-25 01:00,24,$256.41,52.62%,47.38%,5.2%,2025-01-26 01:00,$254.49,SL,-0.75%,1,LOSS
8,2025-01-27 01:00,26,$234.89,67.19%,32.81%,34.4%,2025-01-28 01:00,$238.41,TP,+1.50%,1,WIN
9,2025-01-30 01:00,29,$238.31,55.90%,44.10%,11.8%,2025-01-31 01:00,$236.52,SL,-0.75%,1,LOSS
10,2025-02-01 01:00,31,$213.03,73.46%,26.54%,46.9%,2025-02-02 01:00,$216.23,TP,+1.50%,1,WIN
11,2025-02-05 01:00,35,$196.12,67.57%,32.43%,35.1%,2025-02-06 01:00,$199.06,TP,+1.50%,1,WIN
12,2025-02-07 01:00,37,$191.99,62.54%,37.46%,25.1%,2025-02-08 01:00,$194.87,TP,+1.50%,1,WIN
13,2025-02-09 01:00,39,$200.47,67.46%,32.54%,34.9%,2025-02-10 01:00,$203.48,TP,+1.50%,1,WIN
14,2025-02-21 01:00,51,$168.94,61.98%,38.02%,24.0%,2025-02-22 01:00,$171.47,TP,+1.50%,1,WIN
15,2025-02-24 01:00,54,$141.81,71.93%,28.07%,43.9%,2025-02-25 01:00,$143.94,TP,+1.50%,1,WIN
16,2025-02-26 01:00,56,$135.32,69.77%,30.23%,39.5%,2025-02-27 01:00,$137.35,TP,+1.50%,1,WIN
17,2025-02-28 01:00,58,$148.18,96.44%,3.56%,92.9%,2025-03-01 01:00,$150.40,TP,+1.50%,1,WIN
18,2025-03-02 01:00,60,$178.71,66.29%,33.71%,32.6%,2025-03-03 01:00,$177.37,SL,-0.75%,1,LOSS
19,2025-03-04 01:00,62,$144.79,70.11%,29.89%,40.2%,2025-03-05 01:00,$146.96,TP,+1.50%,1,WIN
20,2025-03-06 01:00,64,$143.31,55.98%,44.02%,12.0%,2025-03-07 01:00,$145.46,TP,+1.50%,1,WIN
21,2025-03-08 01:00,66,$137.01,84.69%,15.31%,69.4%,2025-03-09 01:00,$139.07,TP,+1.50%,1,WIN
22,2025-03-10 01:00,68,$118.32,93.03%,6.97%,86.1%,2025-03-11 01:00,$120.09,TP,+1.50%,1,WIN
23,2025-03-13 01:00,71,$123.37,76.91%,23.09%,53.8%,2025-03-14 01:00,$125.22,TP,+1.50%,1,WIN
24,2025-03-15 01:00,73,$135.86,63.40%,36.60%,26.8%,2025-03-16 01:00,$134.84,SL,-0.75%,1,LOSS
25,2025-03-17 01:00,75,$128.01,61.27%,38.73%,22.5%,2025-03-18 01:00,$127.05,SL,-0.75%,1,LOSS
26,2025-03-19 01:00,77,$135.33,59.86%,40.14%,19.7%,2025-03-20 01:00,$134.32,SL,-0.75%,1,LOSS
27,2025-03-21 01:00,79,$128.48,52.71%,47.29%,5.4%,2025-03-22 01:00,$130.41,TP,+1.50%,1,WIN
28,2025-03-24 01:00,82,$141.01,56.17%,43.83%,12.3%,2025-03-25 01:00,$143.13,TP,+1.50%,1,WIN
29,2025-03-27 01:00,85,$138.43,56.43%,43.57%,12.9%,2025-03-28 01:00,$137.39,SL,-0.75%,1,LOSS
30,2025-03-29 01:00,87,$124.58,57.90%,42.10%,15.8%,2025-03-30 01:00,$126.45,TP,+1.50%,1,WIN
31,2025-04-02 02:00,91,$117.42,76.28%,23.72%,52.6%,2025-04-03 02:00,$119.18,TP,+1.50%,1,WIN
32,2025-04-06 02:00,95,$105.91,78.37%,21.63%,56.7%,2025-04-07 02:00,$107.50,TP,+1.50%,1,WIN
33,2025-04-08 02:00,97,$105.40,75.55%,24.45%,51.1%,2025-04-09 02:00,$106.98,TP,+1.50%,1,WIN
34,2025-04-10 02:00,99,$112.81,83.12%,16.88%,66.2%,2025-04-11 02:00,$114.50,TP,+1.50%,1,WIN
35,2025-04-12 02:00,101,$132.24,50.38%,49.62%,0.8%,2025-04-13 02:00,$131.25,SL,-0.75%,1,LOSS
36,2025-04-21 02:00,110,$136.56,50.57%,49.43%,1.1%,2025-04-22 02:00,$138.61,TP,+1.50%,1,WIN
37,2025-04-23 02:00,112,$151.10,76.95%,23.05%,53.9%,2025-04-24 02:00,$149.97,SL,-0.75%,1,LOSS
38,2025-04-25 02:00,114,$150.82,85.61%,14.39%,71.2%,2025-04-26 02:00,$153.08,TP,+1.50%,1,WIN
