,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,result,pnl,pnl_pct,capital_after,confidence,predicted_magnitude,hold_periods
0,2024-09-26 02:00:00,2024-09-26 02:00:00,BUY,65173.99,64792.97743431628,65990.44716275333,64792.97743431628,LOSS,-7.846083164215035,-0.7846083164215034,9992.153916835785,0.438323,1.6703136,1
1,2024-09-27 02:00:00,2024-09-27 02:00:00,BUY,65769.95,66389.05847804547,66389.05847804547,65481.031664860246,WIN,7.407425848496299,0.741324234008798,9999.561342684281,0.42467183,1.2551023,1
2,2024-09-28 02:00:00,2024-09-28 02:00:00,BUY,65858.0,65579.6900383234,66454.37680697441,65579.6900383234,LOSS,-6.225636605846293,-0.622590970993042,9993.335706078435,0.418819,1.2074031,1
3,2024-09-29 02:00:00,2024-09-30 02:00:00,BUY,65602.01,65258.55894421398,66337.97710671066,65258.55894421398,LOSS,-7.230552107966997,-0.7235373973846413,9986.105153970468,0.41242966,1.4958233,2
4,2024-10-29 01:00:00,2024-10-29 01:00:00,BUY,72736.42,73455.60688822508,73455.60688822508,72400.79713993311,WIN,7.876616437660512,0.7887576103210545,9993.981770408129,0.4025484,1.3183458,1
5,2025-01-06 01:00:00,2025-01-06 01:00:00,SELL,102235.6,102104.65212352277,102104.65212352277,102296.7077902794,WIN,-0.7187229839569834,-0.07191557884216879,9993.263047424172,0.40945333,0.1707827,1
6,2025-01-15 01:00:00,2025-01-15 01:00:00,SELL,100497.35,100349.20262798072,100349.20262798072,100566.48783631921,WIN,-0.5255036574245538,-0.05258579254150683,9992.737543766747,0.404558,0.19655184,1
7,2025-01-16 01:00:00,2025-01-16 01:00:00,SELL,99987.3,99924.4072067678,99924.4072067678,100016.64559972286,WIN,-1.3699965066123465,-0.1370992183685361,9991.367547260135,0.40931043,0.08387011,1
8,2025-01-17 01:00:00,2025-01-17 01:00:00,SELL,104077.48,103966.34427556276,103966.34427556276,104129.34127023697,WIN,-0.9313780864619398,-0.09321827888489051,9990.436169173674,0.407144,0.14237492,1
9,2025-04-23 02:00:00,2025-04-23 02:00:00,SELL,93691.08,93441.83042404891,93441.83042404891,93807.39237353325,WIN,0.6597025778880036,0.06603341102599414,9991.095871751562,0.40037927,0.35470867,1
10,2025-05-22 02:00:00,2025-05-22 02:00:00,SELL,111696.21,111297.1060782963,111297.1060782963,111882.46337904454,WIN,1.5717189144476222,0.15731196403504039,9992.66759066601,0.4004886,-0.47641405,1
11,2025-05-24 02:00:00,2025-05-24 02:00:00,SELL,107761.91,107447.37670849383,107447.37670849383,107908.69091808081,WIN,0.9181061630113184,0.0918779850006125,9993.58569682902,0.40533802,-0.38916987,1
12,2025-05-25 02:00:00,2025-05-25 02:00:00,SELL,109004.19,108597.76690207601,108597.76690207601,109193.854978652,WIN,1.727400231236347,0.172850894927979,9995.313097060258,0.41304144,-0.49713382,1
13,2025-05-26 02:00:00,2025-05-26 02:00:00,SELL,109434.79,109366.46996463418,109366.46996463418,109466.67355288028,WIN,-1.375056172939612,-0.13757009506225798,9993.938040887318,0.41035593,-0.083242126,1
14,2025-05-27 02:00:00,2025-05-27 02:00:00,SELL,108938.17,108729.04932687878,108729.04932687878,109035.76311050773,WIN,-0.08032408869473946,-0.00803728103637591,9993.857716798624,0.40129223,-0.2559502,1
15,2025-05-28 02:00:00,2025-05-28 02:00:00,SELL,107781.78,107729.58902977467,107729.58902977467,107806.14092554092,WIN,-1.5148408358378733,-0.15157718658447428,9992.342875962786,0.4008449,-0.06456145,1
16,2025-06-09 02:00:00,2025-06-09 02:00:00,SELL,110263.02,110210.15989079833,110210.15989079833,110287.69199427367,WIN,-1.5194354999113044,-0.15205998420714753,9990.823440462875,0.4099602,-0.0639197,1
17,2025-06-10 02:00:00,2025-06-10 02:00:00,SELL,110274.39,110201.40489767074,110201.40489767074,110308.45059080243,WIN,-1.3369220630771668,-0.1338150024414031,9989.486518399797,0.42729676,-0.08824345,1
18,2025-06-11 02:00:00,2025-06-11 02:00:00,SELL,108645.12,108573.73776603698,108573.73776603698,108678.43127746582,WIN,-1.3415660631909423,-0.13429780006408637,9988.144952336606,0.4134227,-0.0876017,1
19,2025-06-12 02:00:00,2025-06-12 02:00:00,SELL,105671.73,105704.1296173811,105602.30134867966,105704.1296173811,LOSS,-2.303871799970582,-0.23066062927246755,9985.841080536637,0.40357715,-0.0876017,1
20,2025-06-13 02:00:00,2025-06-13 02:00:00,SELL,106066.59,105975.00229621588,105975.00229621588,106109.32713519572,WIN,-1.1348983393069,-0.11365075111388723,9984.70618219733,0.40380046,-0.11513345,1
21,2025-06-15 02:00:00,2025-06-15 02:00:00,SELL,105594.01,105464.46908487915,105464.46908487915,105654.46914054274,WIN,-0.7720346569331171,-0.07732172012328717,9983.934147540396,0.40141708,-0.16357355,1
22,2025-06-16 02:00:00,2025-06-16 02:00:00,SELL,106794.53,106742.81708400011,106742.81708400011,106818.6677864933,WIN,-1.5133366491288351,-0.1515771865844743,9982.420810891268,0.4050974,-0.06456145,1
23,2025-06-24 02:00:00,2025-06-24 02:00:00,SELL,106083.0,105830.18591040373,105830.18591040373,106200.9752715826,WIN,0.382498925849376,0.038317251205444325,9982.803309817118,0.40949187,-0.31775555,1
24,2025-06-25 02:00:00,2025-06-25 02:00:00,SELL,107340.58,107009.88672177911,107009.88672177911,107494.89969103814,WIN,1.078926681553604,0.10807852745055935,9983.882236498672,0.41968262,-0.41077393,1
25,2025-06-26 02:00:00,2025-06-26 02:00:00,SELL,106947.06,106633.89152415276,106633.89152415276,107093.2027389121,WIN,0.9267608458644016,0.09282569885253522,9984.808997344537,0.42482886,-0.39043635,1
26,2025-06-27 02:00:00,2025-06-27 02:00:00,SELL,107047.59,106734.1271464777,106734.1271464777,107193.87011276365,WIN,0.9268468730876375,0.09282569885254016,9985.735844217625,0.4206835,-0.39043635,1
27,2025-06-28 02:00:00,2025-06-28 02:00:00,SELL,107296.79,106982.59742483615,106982.59742483615,107443.4106435883,WIN,0.9269329082964155,0.0928256988525456,9986.662777125921,0.4130811,-0.39043635,1
28,2025-06-29 02:00:00,2025-06-29 02:00:00,SELL,108356.93,108235.01791335344,108235.01791335344,108413.81714024066,WIN,-0.8737358479558246,-0.08749027252197641,9985.789041277965,0.41726813,-0.15001492,1
29,2025-06-30 02:00:00,2025-06-30 02:00:00,SELL,107146.5,107093.31381869316,107093.31381869316,107171.31766337156,WIN,-1.5014757407673824,-0.1503612518310547,9984.287565537197,0.4114839,-0.06618878,1
30,2025-07-01 02:00:00,2025-07-01 02:00:00,SELL,105681.14,105662.02857062101,105662.02857062101,105690.05950692177,WIN,-1.8163011652971666,-0.18191595077514594,9982.4712643719,0.4098603,-0.02411308,1
31,2025-07-02 02:00:00,2025-07-02 02:00:00,SELL,108849.6,108703.67970228195,108703.67970228195,108917.69743652345,WIN,-0.6582760335524298,-0.06594319343566363,9981.812988338346,0.41957065,-0.1787426,1
32,2025-07-03 02:00:00,2025-07-03 02:00:00,SELL,109584.78,109437.87414345145,109437.87414345145,109653.33737274169,WIN,-0.6582326247286789,-0.06594319343567001,9981.154755713618,0.4200342,-0.1787426,1
33,2025-07-04 02:00:00,2025-07-04 02:00:00,SELL,107984.24,107854.84337299348,107854.84337299348,108044.62595078468,WIN,-0.8001973827076333,-0.08017082214355686,9980.354558330911,0.4155215,-0.15977189,1
34,2025-07-05 02:00:00,2025-07-05 02:00:00,SELL,108198.12,108068.99590940952,108068.99590940952,108258.38048858642,WIN,-0.8050112092287125,-0.08065958023071883,9979.549547121684,0.41062996,0.15911832,1
35,2025-07-06 02:00:00,2025-07-06 02:00:00,SELL,109203.84,109071.11383724213,109071.11383724213,109265.78017776489,WIN,-0.7829971423993852,-0.07846016883850418,9978.766549979284,0.4185292,0.16205528,1
